,Country,Happiness Rank,Happiness Score,Family,Freedom,Generosity,GDP,LE,Trust,Year
37,Algeria,38.0,6.355,0.83309,0.21006,0.07044,1.05266,0.61804,0.16157,2016
38,Guatemala,39.0,6.324,0.87119,0.50379,0.28808,0.83454,0.54039,0.08701,2016
39,Suriname,40.0,6.269,0.77866,0.52234,0.16665,1.09686,0.50933,0.12692,2016
40,Kuwait,41.0,6.239,0.87758,0.43166,0.15965,1.61714,0.63569,0.23669,2016
41,Bahrain,42.0,6.218,0.94397,0.47375,0.17147,1.44024,0.65696,0.25772,2016
42,Trinidad and Tobago,43.0,6.168,0.98569,0.48453,0.31935,1.32572,0.52608,0.01241,2016
43,Venezuela,44.0,6.084,1.03302,0.19847,0.0425,1.13367,0.61904,0.08304,2016
44,Slovakia,45.0,6.078,1.08268,0.23391,0.13837,1.27973,0.70367,0.02947,2016
45,El Salvador,46.0,6.068,0.80975,0.37269,0.08877,0.8737,0.596,0.10613,2016
46,Malaysia,47.0,6.005,0.88025,0.39031,0.41474,1.25142,0.62366,0.09081,2016
47,Nicaragua,48.0,5.992,0.89521,0.46582,0.29773,0.69384,0.65213,0.16292,2016
48,Uzbekistan,49.0,5.987,1.1681,0.60848,0.34326,0.73591,0.50163,0.28333,2016
49,Italy,50.0,5.977,1.04167,0.18827,0.16684,1.35495,0.85102,0.02556,2016
50,Ecuador,51.0,5.976,0.85974,0.4027,0.10074,0.97306,0.68613,0.18037,2016
51,Belize,52.0,5.956,0.68655,0.51231,0.23684,0.87616,0.45569,0.10771,2016
52,Japan,53.0,5.921,1.06054,0.46761,0.10224,1.38007,0.91491,0.18985,2016
53,Kazakhstan,54.0,5.919,0.95544,0.4052,0.15011,1.22943,0.57386,0.11132,2016
54,Moldova,55.0,5.897,0.83132,0.25202,0.19997,0.69177,0.52309,0.01903,2016
55,Russia,56.0,5.856,1.05261,0.32682,0.02736,1.23228,0.58991,0.03586,2016
56,Poland,57.0,5.835,1.04685,0.4519,0.14443,1.24585,0.69058,0.055,2016
57,South Korea,57.0,5.835,0.72194,0.25168,0.18824,1.35948,0.88645,0.07716,2016
58,Bolivia,59.0,5.822,0.83779,0.50961,0.21698,0.79422,0.4697,0.07746,2016
59,Lithuania,60.0,5.813,1.06411,0.18929,0.02025,1.2692,0.64674,0.0182,2016
60,Belarus,61.0,5.802,1.04993,0.29091,0.13942,1.13062,0.63104,0.17457,2016
61,North Cyprus,62.0,5.771,0.81826,0.43596,0.26322,1.31141,0.84142,0.16578,2016
62,Slovenia,63.0,5.768,1.05613,0.53164,0.25738,1.29947,0.79151,0.03635,2016
63,Peru,64.0,5.743,0.81255,0.37502,0.14527,0.99602,0.62994,0.05292,2016
64,Turkmenistan,65.0,5.658,1.03817,0.37408,0.22567,1.08017,0.44006,0.28467,2016
65,Mauritius,66.0,5.648,0.75695,0.46145,0.36951,1.14372,0.66189,0.05203,2016
66,Libya,67.0,5.615,0.95076,0.40672,0.17087,1.06688,0.52304,0.10339,2016
67,Latvia,68.0,5.56,0.95025,0.27996,0.17445,1.21788,0.63952,0.0889,2016
68,Cyprus,69.0,5.546,0.70697,0.29507,0.27906,1.31857,0.8488,0.05228,2016
69,Paraguay,70.0,5.538,1.11111,0.46235,0.25296,0.89373,0.58295,0.07396,2016
70,Romania,71.0,5.528,0.72803,0.36712,0.12889,1.1697,0.67602,0.00679,2016
71,Estonia,72.0,5.517,1.05163,0.41511,0.08423,1.27964,0.68098,0.18519,2016
72,Jamaica,73.0,5.51,0.96372,0.43597,0.22245,0.89333,0.59469,0.04294,2016
